得意先コード,袋,角底,手提げ袋,保存袋
2125,0,1,0,0
2126,1,1,0,0
2127,0,1,0,0
2128,1,0,0,0
2129,0,1,0,0
2130,0,0,0,0
2131,1,0,0,0
2132,0,0,0,0
2134,0,0,0,0
2137,0,0,0,0
2138,0,0,0,0
2139,0,0,0,0
2140,0,0,1,0
2150,0,0,0,0
2201,1,0,0,0
2202,1,0,0,0
2250,1,0,0,0
2251,0,0,0,0
2252,0,0,0,0
2304,0,1,0,0
2305,0,0,0,0
2404,0,0,0,0
2405,0,0,0,0
2512,0,1,0,0
2526,0,0,0,0
2529,0,1,0,0
2530,1,1,0,0
2531,1,1,0,1
2532,1,1,0,1
2535,1,0,0,0
2536,1,1,0,0
2537,0,0,0,0
2538,0,0,0,0
2539,0,1,0,0
2540,0,0,0,0
2541,1,0,0,0
2542,0,0,0,0
2543,1,0,0,0
2544,0,0,0,0
2545,0,0,0,0
2546,0,0,0,0
2550,1,1,0,1
2552,1,1,0,0
2555,0,0,0,0
2611,1,1,0,0
2615,1,0,0,0
2620,0,0,0,0
2651,1,0,0,0
2653,1,0,0,0
2654,0,0,0,0
2655,0,1,0,0
2656,1,1,0,0
2657,1,0,0,0
2658,1,0,0,0
2659,1,0,0,0
2660,0,1,0,0
2661,0,0,0,0
2662,0,0,0,0
2663,0,0,0,0
2670,1,0,0,0
2706,0,0,0,0
2730,0,0,0,0
2735,1,1,1,0
2754,1,1,0,0
2756,0,0,0,0
2757,0,0,0,0
2767,1,0,0,0
2770,1,0,0,0
2771,1,1,0,0
2809,1,1,0,0
2811,0,0,0,0
2812,1,0,0,0
2816,0,0,0,0
2817,0,0,0,0
2818,0,0,0,0
2819,0,0,0,0
2821,1,1,0,0
2822,0,0,0,0
2823,0,0,0,0
2824,0,0,0,0
2825,1,0,0,0
2826,1,0,0,0
2827,0,0,0,0
2828,1,0,0,0
2829,0,0,0,0
2830,0,0,0,0
2831,1,1,0,0
2832,1,0,0,0
2833,1,1,0,0
2834,1,0,0,0
2835,1,1,0,0
2836,1,1,0,1
2837,0,0,0,0
2838,0,0,0,0
2839,1,0,0,0
2840,0,0,0,0
2841,0,1,0,0
2842,0,1,0,0
2843,1,0,0,0
